episode,reward
1,-44.959999999999994
2,-2.04
3,-1.09
4,-2.2199999999999998
5,-2.36
6,-4.76
7,-1.0
8,-3.9599999999999995
9,-1.2
10,-1.29
11,-4.08
12,-3.6100000000000003
13,-2.5300000000000002
14,-8.07
15,-107.03
16,-4.08
17,-3.03
18,-1.26
19,-2.0199999999999996
20,-1.73
21,-1.1199999999999999
22,-19.08
23,-1.89
24,-1.62
25,-1.16
26,-20.549999999999997
27,-7.35
28,-1.1500000000000001
29,-3.1499999999999995
30,-11.350000000000001
31,-4.16
32,-1.19
33,-163.33999999999997
34,-4.359999999999999
35,-3.2199999999999998
36,-1.1
37,-1.8399999999999999
38,-10.45
39,-1.72
40,-2.46
41,-1.17
42,-7.35
43,-1.51
44,-4.52
45,-24.189999999999998
46,-2.73
47,-60.3
48,-1.72
49,-4.619999999999999
50,-1.74
51,-2.16
52,-1.52
53,-4.539999999999999
54,-4.47
55,-231.04
56,-2.6199999999999997
57,-49.06
58,-39.019999999999996
59,-1.96
60,-1.32
61,-2.3000000000000003
62,-5.149999999999999
63,-13.82
64,-2.8099999999999996
65,-6.01
66,-48.21
67,-1.4500000000000002
68,-6.1899999999999995
69,-3.09
70,-6.779999999999999
71,-2.49
72,-1.9
73,-2.5599999999999996
74,-3.6399999999999997
75,-1.03
76,-2.25
77,-2465.040000000001
78,-4.279999999999999
79,-3.6900000000000004
80,-3.4800000000000004
81,-5030.570000000002
82,-58.97
83,-5.299999999999999
84,-245.92999999999998
85,-1.17
86,-2.45
87,-1.1199999999999999
88,-3.1399999999999997
89,-0.33000000000000007
90,0.7999999999999999
91,-1.1
92,-1.14
93,-2.44
94,-1.34
95,0.59
96,-1.19
97,-0.08999999999999986
98,-1.79
99,-1.6400000000000001
100,0.76
101,-2.65
102,-2.3000000000000003
103,-1.54
104,-2.44
105,-1.8599999999999999
106,-0.07999999999999985
107,-1.3800000000000001
108,-1.16
109,-1.79
110,-1.4
111,-1.14
112,-1.74
113,0.7899999999999999
114,-1.0
115,-1.25
116,-1.02
117,-1.37
118,0.83
119,0.83
120,-1.09
121,0.3799999999999999
122,0.51
123,-1.01
124,0.36999999999999994
125,-1.07
126,-1.27
127,0.82
128,-1.02
129,0.83
130,0.73
131,-1.04
132,0.85
133,0.6299999999999999
134,0.27
135,-1.0
136,-1.3800000000000001
137,0.15000000000000002
138,-1.02
139,0.51
140,0.7999999999999999
141,-1.24
142,-1.54
143,-0.3400000000000001
144,-1.07
145,-1.01
146,-1.67
147,-1.92
148,-1.0
149,-1.26
150,0.5399999999999999
151,-1.02
152,0.7
153,-1.27
154,-1.04
155,0.06000000000000005
156,-1.54
157,-1.05
158,0.87
159,-1.01
160,0.86
161,-0.02999999999999986
162,0.51
163,-1.09
164,0.3999999999999999
165,-1.0
166,0.08000000000000007
167,0.89
168,-1.36
169,-1.22
170,-1.01
171,-1.0
172,-1.02
173,-1.23
174,-1.01
175,-1.01
176,-1.01
177,-1.01
178,-1.1199999999999999
179,0.82
180,-2.23
181,-1.02
182,-1.06
183,0.7
184,-1.01
185,0.7799999999999999
186,0.85
187,-1.0
188,-1.02
189,-1.7999999999999998
190,-1.02
191,-1.1500000000000001
192,-1.21
193,-0.05999999999999983
194,0.7
195,-1.0
196,-1.01
197,0.71
198,0.75
199,-1.46
200,-1.02
201,-1.02
202,-0.019999999999999796
203,-1.07
204,0.89
205,0.7699999999999999
206,-1.02
207,-1.36
208,-1.96
209,0.42999999999999994
210,-1.06
211,-1.65
212,-1.0
213,-1.02
214,-1.32
215,0.36999999999999994
216,-1.17
217,-1.03
218,-1.8699999999999999
219,0.21999999999999997
220,-1.01
221,-1.22
222,0.89
223,0.9
224,-1.09
225,-1.9499999999999997
226,-1.42
227,-1.0
228,0.89
229,0.7
230,0.7899999999999999
231,-1.44
232,0.6099999999999999
233,0.57
234,-1.8699999999999999
235,-1.28
236,-1.25
237,0.69
238,-1.01
239,-1.01
240,0.9299999999999999
241,-2.2199999999999998
242,-0.7999999999999998
243,-1.22
244,-1.01
245,0.9299999999999999
246,-1.05
247,-1.72
248,-1.02
249,-1.44
250,0.45999999999999996
251,0.6699999999999999
252,0.87
253,0.73
254,-1.0
255,-1.05
256,0.6399999999999999
257,0.15000000000000002
258,-1.02
259,-0.15999999999999992
260,-1.1
261,-1.58
262,0.06000000000000005
263,-1.01
264,0.71
265,0.6499999999999999
266,0.45999999999999996
267,-1.27
268,-1.0
269,-1.0
270,-0.05999999999999983
271,-1.46
272,-1.1
273,-1.03
274,0.87
275,0.91
276,-0.49
277,-1.01
278,-1.76
279,-1.57
280,-2.33
281,0.88
282,0.6599999999999999
283,-1.14
284,-1.0
285,-1.01
286,-1.02
287,-1.01
288,-1.02
289,0.83
290,-1.26
291,0.47
292,-1.1500000000000001
293,-1.02
294,-1.01
295,-1.01
296,0.18000000000000005
297,-1.01
298,-1.02
299,0.5299999999999999
300,-1.8699999999999999
301,0.7699999999999999
302,-1.01
303,0.49
304,-1.17
305,-1.0
306,0.83
307,0.5499999999999999
308,-1.36
309,0.86
310,0.7899999999999999
311,0.6
312,-1.4300000000000002
313,0.6099999999999999
314,-1.0299999999999998
315,-1.06
316,-1.01
317,-1.01
318,-1.55
319,-1.0
320,-1.1099999999999999
321,0.7699999999999999
322,0.69
323,-0.6999999999999998
324,-1.1
325,-1.0
326,-2.3400000000000003
327,-1.1099999999999999
328,-1.8399999999999999
329,-1.06
330,0.86
331,-1.2
332,0.91
333,-1.03
334,-1.01
335,-1.05
336,-1.07
337,-1.25
338,-1.13
339,0.6699999999999999
340,-1.01
341,-1.54
342,0.7
343,-1.19
344,0.9299999999999999
345,0.5399999999999999
346,0.89
347,0.6299999999999999
348,0.9299999999999999
349,-1.0
350,-1.03
351,-1.01
352,-1.02
353,-1.03
354,-1.03
355,-1.01
356,-1.16
357,0.7899999999999999
358,-1.02
359,-1.04
360,-1.36
361,-1.0
362,-1.04
363,0.73
364,-1.0
365,0.87
366,-1.01
367,-1.02
368,0.82
369,0.91
370,-1.0
371,0.28
372,-0.08999999999999986
373,-1.4
374,-1.0
375,-1.0
376,-1.0
377,0.75
378,-1.0
379,-1.0
380,0.7699999999999999
381,-1.0
382,0.6599999999999999
383,-1.03
384,-1.0
385,0.21999999999999997
386,0.10000000000000009
387,0.89
388,-1.06
389,-1.02
390,-1.01
391,-1.0
392,-1.1199999999999999
393,-1.0
394,-1.31
395,-1.02
396,-1.01
397,-1.02
398,-1.16
399,-1.14
400,0.9299999999999999
401,-1.23
402,-1.6300000000000001
403,-1.55
404,-1.42
405,-1.02
406,-1.0
407,-1.28
408,-1.01
409,-1.1500000000000001
410,-1.02
411,-1.25
412,-1.02
413,-1.01
414,-0.2700000000000001
415,-1.02
416,0.87
417,0.49
418,-1.4300000000000002
419,-1.02
420,-1.0
421,-1.69
422,-1.52
423,-1.01
424,-1.01
425,-1.03
426,-1.22
427,-1.0
428,0.88
429,-1.04
430,-1.0
431,-1.0
432,-1.13
433,-1.8599999999999999
434,0.83
435,-1.3800000000000001
436,-1.0
437,-1.0
438,-1.33
439,0.87
440,-1.3800000000000001
441,-1.04
442,0.89
443,0.9299999999999999
444,0.9299999999999999
445,-1.02
446,0.9299999999999999
447,-1.02
448,-1.02
449,0.9299999999999999
450,-1.01
451,0.89
452,0.92
453,-1.03
454,0.92
455,-1.0
456,-1.1199999999999999
457,-1.04
458,0.9299999999999999
459,0.9299999999999999
460,-1.03
461,-1.01
462,0.9299999999999999
463,-1.01
464,-1.02
465,-1.04
466,-1.04
467,0.9299999999999999
468,-1.04
469,-1.02
470,-1.06
471,0.89
472,0.9299999999999999
473,0.9299999999999999
474,-1.01
475,0.9299999999999999
476,-1.05
477,-1.05
478,0.9299999999999999
479,-1.0
480,0.9299999999999999
481,-1.04
482,-1.03
483,-1.03
484,-1.05
485,0.9299999999999999
486,-1.01
487,-1.01
488,-1.0
489,0.9299999999999999
490,0.92
491,-1.02
492,-1.06
493,0.9299999999999999
494,0.92
495,-1.04
496,-1.06
497,-1.02
498,-1.01
499,0.9299999999999999
500,-1.05
501,-1.06
502,-1.07
503,-1.03
504,0.9299999999999999
505,0.9299999999999999
506,-1.05
507,-1.04
508,-1.0
509,-1.0
510,-1.04
511,-1.03
512,-1.02
513,0.9299999999999999
514,0.9299999999999999
515,-1.01
516,-1.05
517,-1.0
518,-1.04
519,-1.07
520,-1.0
521,-1.02
522,-1.01
523,-1.06
524,-1.01
525,-1.06
526,-1.0
527,-1.02
528,-1.01
529,0.92
530,-1.05
531,0.9299999999999999
532,-1.02
533,-1.0
534,0.9299999999999999
535,0.91
536,0.9299999999999999
537,0.9299999999999999
538,-1.08
539,0.9299999999999999
540,-1.04
541,-1.01
542,-1.07
543,-1.04
544,0.91
545,0.9299999999999999
546,0.92
547,0.9299999999999999
548,-1.05
549,0.9299999999999999
550,-1.05
551,-1.04
552,0.92
553,0.9299999999999999
554,0.9299999999999999
555,-1.02
556,-1.04
557,-1.05
558,-1.02
559,-1.06
560,0.9299999999999999
561,-1.0
562,-1.05
563,-1.04
564,0.91
565,-1.01
566,-1.0
567,0.9299999999999999
568,0.9299999999999999
569,-1.06
570,-1.02
571,-1.01
572,0.9299999999999999
573,-1.05
574,-1.05
575,0.9299999999999999
576,-1.03
577,-1.01
578,0.9299999999999999
579,-1.06
580,-1.06
581,0.9299999999999999
582,-1.07
583,-1.05
584,-1.02
585,0.91
586,0.91
587,0.9299999999999999
588,-1.01
589,-1.1
590,-1.1
591,0.91
592,-1.02
593,-1.04
594,-1.03
595,-1.0
596,-1.01
597,-1.01
598,-1.0
599,-1.02
600,0.9
601,0.9299999999999999
602,-1.01
603,-1.02
604,-1.05
605,0.9299999999999999
606,-1.04
607,-1.03
608,-1.02
609,-1.03
610,-1.02
611,-1.0
612,-1.02
613,0.9299999999999999
614,0.92
615,-1.07
616,-1.01
617,-1.0
618,0.9299999999999999
619,-1.05
620,0.91
621,-1.0
622,-1.0
623,-1.03
624,0.9299999999999999
625,-1.03
626,-1.0
627,-1.04
628,0.9299999999999999
629,-1.06
630,0.9299999999999999
631,-1.06
632,-1.03
633,-1.04
634,-1.03
635,0.9299999999999999
636,-1.01
637,-1.07
638,0.9299999999999999
639,0.92
640,-1.01
641,-1.0
642,0.9299999999999999
643,0.91
644,-1.0
645,-1.02
646,-1.06
647,-1.01
648,-1.06
649,-1.03
650,-1.1
651,-1.0
652,0.9299999999999999
653,0.9299999999999999
654,-1.02
655,0.89
656,0.9299999999999999
